firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
DHL-Supply-Chain,42859, Operations Supervisor,"Former Employee, more than 1 year",Singapore,1,5.0,1.0,,5.0,5.0,1.0,o,r,v,Operations -Singapore,Business is growing. Many technological advancements within the company.  Nice office and work environment   Nice and friendly peers to work with,"There is NO work life balance especially in the Singapore country operations. They work you like a dog and one is expected to work during weekends and public holidays.  There is no sense of trust Nor respect. It's a dog eat dog world in there with no support . The IT system is not reliable and not stable.  There is so little planning of manpower, volume and often one needs to work OT."
EY,43502, Anonymous Employee,Former Employee,,4,3.0,4.0,,4.0,3.0,4.0,o,o,o,Staff Accountant,"-Lifelong learning: courses and support provided to you to ensure you can keep up with the ever changing standards
-Interesting client work in various industries; Fortune 500 companies to private mid sized firms","-work life balance; vacation blackout periods during busy season
-very long hours"
J-Sainsbury,44237, Counter Assistant,"Former Employee, less than 1 year","Nottingham, England, England",4,5.0,5.0,4.0,3.0,3.0,4.0,o,o,o,Good place to work during university,"flexible hours, good colleagues, good place for university students",hard to book holidays sometimes
IBM,43419, Finance,"Current Employee, more than 5 years","Guadalajara, Jalisco, Jalisco",5,5.0,5.0,,4.0,4.0,4.0,v,r,r,A company with great values,"Respectful environment, flexible work schedules, a lot of focus on work life balance, inclusive and diverse.","I have nothing bad to say yet, and I've been working for IBM for over 6 years now."
American-Express,43089, DRM,"Current Employee, more than 1 year",Bangalore,4,1.0,3.0,,5.0,5.0,3.0,v,v,v,DRM,Great incentives and salary is also great,Work and personal life balance
IBM,41844, ,Current Employee,,3,,,,,,,o,o,o,Senior manager,stable and lay back atmosphere,"as pros, turn cons to pros"
Cambridge-Assessment,40336, ,Former Employee,"Cambridge, East of England, England, England",3,4.0,,,1.0,2.0,2.0,o,o,o,Great for plodders - frustrating for high-achievers...,"Final Salary Pension with flexible working arrangements commonplace.  Friendly people.  A culture of ""lifers"" with a very low staff churn rate.  Very stable and unbeatable job security.","Not challenging.  Politics, politics, politics.  They want plodders who do what they are told - high-achievers will get frustrated.  Medium sized company with large company style red-tape.  The non-profit status allows some really large errors in judgment from senior management to occur without those responsible being held accountable.  Very poor remuneration within the IT sector of the organisation which is limited by company wide paybands"
IBM,44123, SAP Consultant,"Current Employee, more than 3 years",Taipei,5,3.0,3.0,5.0,4.0,4.0,3.0,v,r,r,SAP Consultant,Promising skill and can learn industry trend,Work time is very long
EY,44245, Senior Data Analyst,Current Employee,"London, England, England",4,4.0,4.0,3.0,4.0,3.0,3.0,v,o,v,Great Company,Great place to learn and develop,Visibility can be challenging at times
McDonald-s,42836, Crew Member,"Former Employee, more than 1 year","Guildford, England, England",3,3.0,3.0,,3.0,3.0,3.0,v,r,v,Friendly environment,"Friendly environment, easy to apply","long hours, fast peace environment. low pay.."
PwC,44187, Senior Associate,Former Employee,"London, England, England",4,,,,,,,o,o,o,Great place to train and start career,"Loads of exposure, great place to learn",Hours can be long at different times of the year
J-P-Morgan,42387, Anonymous Employee,"Former Employee, more than 5 years","Pleasanton, CA",3,3.0,2.0,,2.0,3.0,1.0,x,o,x,Assistant Branch Manager,Good company to work for.,"Politics, favoritism,lack of equal opportunity."
Deloitte,43898, Audit Associate,"Former Employee, more than 1 year","Boise, ID",3,2.0,3.0,,4.0,3.0,3.0,x,r,x,Audit,"-Big 4 experience
-Multiple industries to audit","-Low pay compared to industry
-Poor work/life balance"
Deloitte,44237, Supply Chain,"Current Employee, more than 10 years","Hoffman Estates, IL",4,5.0,5.0,4.0,4.0,5.0,4.0,v,v,v,Good place to work,"Good Benefits, and good people,","they pay you for your job title, even if you do more than your job title"
University-of-Michigan,41276, Survey Technician,"Current Employee, less than 1 year","Ann Arbor, MI",5,5.0,5.0,,3.0,4.0,5.0,v,v,r,Survey Technician at the Institute for Social Research,"-Working at UM gets you an MCard which allows you to ride the Ann Arbor buses for free - makes up for the fact that parking is hard to find.
-Nice, helpful management.
-Cash bonuses are a nice incentive for meeting monthly goals.","-Free parking on the street is hard to find, but I wouldn't overly blame the Univ. of Michigan for that one. 
-Part-time job with only  4 - 6 hour shifts doesn't make this a real money maker."
Deloitte,41992, Anonymous Employee,"Current Employee, more than 8 years",,4,3.0,4.0,,,3.0,4.0,v,o,v,Manager,Good culture and better opportunities,Work stress is high and compensation is not competitive with the industry.
Sodexo,44299, Food Service Worker,"Current Employee, more than 3 years","Colorado Springs, CO",2,5.0,1.0,4.0,4.0,1.0,2.0,o,o,o,Sodexo food service,Weekdays only no nights or weekends,Very short on staff. Not much help from upper management when needed. High turnover
PwC,40478, ,Current Employee,,3,1.0,,,4.0,1.0,2.0,x,r,o,Interesting if you want this to be your life,"Lots of opportunities for growth
Lots of hands on experience","No work life balance
No recognition for hard work
Audit work has little direct impact on clients"
Microsoft,43810, Program Manager,"Current Employee, more than 3 years","Redmond, WA",2,1.0,1.0,,1.0,2.0,2.0,x,x,r,Multiple HR Issues,"Working with interesting, hard working womxn.","All male leadership, not investment in D&I, no action on HR issues. 

No career growth for womxn. Terrible treatment of black employees. Old technology. Slow moving teams. Micromanagement from leadership."
Microsoft,44208, Project Manager,"Current Employee, more than 3 years",Hyderābād,4,5.0,5.0,5.0,4.0,3.0,4.0,v,v,v,Many opportunities,"great learning opportunities, chances for horizontal moves to domain chances, great benifits",salary growth is slow in Microsoft Services
Goldman-Sachs,44255, Associate,Current Employee,,5,,,,,,,o,o,o,Software Developer,Create interesting systems and solve relevant financial problems,"Difficult to move to the financial side, if that's your goal"
Google,44250, Senior Software Engineer,Current Employee,,5,,,,,,,o,o,o,not bad,well known company with lots of perks,climbing ladder can be difficult
IBM,42870, Senior Managing Consultant,"Current Employee, more than 10 years",,4,3.0,3.0,,4.0,4.0,3.0,v,v,r,Senior Managing consultant,Great Company to work for,Changing job roles is tough
Goldman-Sachs,43998, Analyst,"Former Employee, more than 1 year","Salt Lake City, UT",2,1.0,2.0,,5.0,1.0,1.0,x,r,v,Analyst in Sec Div,"Great resume builder.
Good name recognition.","Terrible work life balance.
Your work doesn't matter. All that matters is latter climbing."
Deloitte,42837, Human Resource Transformation ,"Current Employee, less than 1 year",,4,2.0,3.0,,5.0,4.0,3.0,v,v,v,Great Starting Block,Great spot to start your career. Gives you immediate credibility in Industry.,An expectation to be on the job/available at anytime of the day.
BNP-Paribas,44095, Procurement Officer,"Current Employee, more than 1 year",Lisbon,1,1.0,1.0,,3.0,1.0,1.0,x,r,r,Do not seek to work at BNP Paribas.,The ony pro about working there is to have a job.,The main con is that it pays really badly.
BHS,42540, Planning Manager,"Former Employee, more than 10 years","London, England, England",3,4.0,4.0,,4.0,4.0,4.0,x,v,x,Out of time,Great people with a real flair and passion for what they did and a supportive structure to support career development.,Unsupportive ownership and unclear financial stability led to instability and uncertainty.  Recently went into liquidation as a result of lack of cashflow.
IBM,43489, Anonymous Employee,Former Employee,,3,5.0,2.0,,1.0,1.0,1.0,v,x,r,Great Work life balance,Amazing work life balance. You never need to go to office. Of course depends on your manager too..,Work can be non challenging
Deloitte,43973, Consultant,Current Employee,"San Francisco, CA",5,,,,,,,o,o,o,Consultant,Good learning curve and networking opportunities.,Stressful and long working hours.
Deloitte,42312, Business Technology Analyst,"Former Employee, more than 1 year",Hyderābād,5,4.0,5.0,,5.0,3.0,5.0,v,v,v,Business Technology Analyst,"Some of the key values of working at Deloitte are: 

- Strong Work Culture
- Employee Development
- CSR Initiatives
- Collaborative Environment
- Strong Career Development",I worked at US India office which is a back-end office to the US office of Deloitte. I don't think I got sufficient opportunities working at the back office.
Apple,42594, ,Current Employee,,4,4.0,4.0,,4.0,4.0,4.0,v,o,r,Retail Review,"Positive work environment. 
The benefits are very good for both full and part timers. 
Driven and determined individuals will move ahead.","People around you can be downers. 
Individuals who are not driven and determined will still move ahead"
Orbit-Group,43616, Anonymous Employee,"Current Employee, more than 3 years",,2,2.0,3.0,,3.0,3.0,1.0,x,v,r,Highly variable company  with good and bad sides,Most on the ground staff do actually care about the people and job even when procedures can stop them doing the right thing. The organisation is also no doubt improving and has currently has a real drive to make employees happier and has some good employee benefits.,Inter-departmental working can be atrocious. The problem really stems from there being far too many director level positions considering the size of the organisation. Any change has to pass across many desks and communication between individual areas is terrible. Employee wellbeing is hugely variable and inconsistent; some areas promote agile working while others shut it down instantly.
Morrisons,42558, ,Former Employee,"Diss, England, England",1,3.0,3.0,,2.0,3.0,1.0,x,x,x,morrisons. ..who,Pleasant enough place to work but a bit short on understanding when you really need time off for family reasons,Management don't have any people skills that I noticed while I was there but the other colleagues where all really helpful
Apple,41722, Specialist,"Former Employee, more than 1 year","Newark, DE",4,5.0,5.0,,3.0,5.0,3.0,v,v,v,The best place I ever worked,"You will be extensively trained on everything you need to know, how to learn more and how to use your talents. Benefits are fantastic and you get TONS...seriously TONS of huge discounts from other tech (etc) companies. Time-off is a little difficult even in the huge store I worked in. Once you leave Apple you will have a family forever, and you will be sought after by other companies.","It is very difficult to get some shine when all of your peers are excellent. If you plan to move up here, you had better start from the time of your interview. Don't be late, don't take advantage of the loose dress code. Pay close attention to everything management tells you, show off humbly, and play to your strengths. Keep in mind, though - you will never get to management by starting as a specialist. If you want to be full-time, mention it early to anyone you can. This is my only complaint."
